Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,359.000000,368.329987,358.510010,366.959991,366.959991,7036100
2019-04-02,366.250000,368.420013,362.220001,367.720001,367.720001,5158700
2019-04-03,369.260010,373.410004,366.190002,369.750000,369.750000,5368900
2019-04-04,370.070007,372.049988,362.399994,367.880005,367.880005,4627300
2019-04-05,369.000000,369.799988,364.660004,365.489990,365.489990,3905500
2019-04-08,365.109985,365.940002,359.929993,361.410004,361.410004,4653800
2019-04-09,360.540009,366.739990,359.000000,364.709991,364.709991,5439200
2019-04-10,365.790009,368.850006,362.250000,363.920013,363.920013,4545600
2019-04-11,365.000000,370.119995,360.809998,367.649994,367.649994,6526900
2019-04-12,360.690002,361.750000,349.359985,351.140015,351.140015,15646200
2019-04-15,350.709991,352.209991,342.269989,348.869995,348.869995,8842300
2019-04-16,355.000000,364.480011,352.720001,359.459991,359.459991,18740200
2019-04-17,365.049988,368.760010,350.600006,354.739990,354.739990,18054100
2019-04-18,355.000000,360.410004,351.640015,360.350006,360.350006,8353200
2019-04-22,359.700012,377.690002,359.000000,377.339996,377.339996,11980500
2019-04-23,375.450012,384.799988,374.709991,381.890015,381.890015,10089800
2019-04-24,381.070007,381.899994,373.269989,374.230011,374.230011,6541900
2019-04-25,374.489990,374.760010,365.700012,368.329987,368.329987,6255500
2019-04-26,368.350006,375.140015,366.239990,374.850006,374.850006,5621900
2019-04-29,373.679993,374.579987,369.119995,371.829987,371.829987,3821700
2019-04-30,369.559998,374.500000,368.350006,370.540009,370.540009,3870100
