lat,long,date,city,country
41.17,-73.20,1882,"Bridgeport","US"
41.76,-72.69,1882,"Hartford","US"
41.39,-70.62,1882,"Martha's Vineyard","US"
41.64,-70.93,1882,"New Bedford","US"
41.82,-71.41,1882,"Providence","US"
42.10,-72.59,1882,"Springfield","US"
36.08,-86.03,1886,"Alexandria","US"
44.91,-93.63,1887,"Lake Minetonka","US"
43.07,-89.38,1887,"Madison","US"
43.03,-87.92,1887,"Milwaukee","US"
44.98,-93.27,1887,"Minneapolis","US"
44.95,-93.09,1887,"St. Paul","US"
42.65,-73.75,1889,"Albany","US"
42.45,-73.26,1889,"Pittsfield","US"
42.51,-71.07,1889,"Wakefield","US"
42.30,-73.39,1889,"West Stockbridge","US"
42.37,-72.51,1891,"Amherst","US"
52.37,4.89,1891,"Amsterdam","Netherlands"
42.38,-71.11,1891,"Cambridge","US"
50.94,6.96,1891,"Cologne","Germany"
51.23,6.78,1891,"Düsseldorf","Germany"
50.97,10.32,1891,"Eisenach","Germany"
50.11,8.68,1891,"Frankfurt","Germany"
51.34,12.37,1891,"Leipzig","Germany"
50.00,8.28,1891,"Mainz","Germany"
53.82,13.37,1891,"Pfalz","Germany"
51.92,4.48,1891,"Rotterdam","Netherlands"
52.08,4.31,1891,"The Hague","Netherlands"
50.98,11.33,1891,"Weimar","Germany"
50.47,7.86,1892,"Boden","Germany"
53.08,8.81,1892,"Bremen","Germany"
47.50,19.04,1892,"Budapest","Hungary"
51.05,13.74,1892,"Dresden","Germany"
50.11,8.68,1892,"Frankfurt","Germany"
53.55,10.00,1892,"Hamburg","Germany"
52.37,9.74,1892,"Hanover","Germany"
51.32,9.49,1892,"Kassel","Germany"
50.06,19.94,1892,"Krakow","Poland"
53.87,10.68,1892,"Lübeck","Germany"
48.14,11.58,1892,"Munich","Germany"
40.84,14.25,1892,"Naples","Italy"
52.40,13.06,1892,"Potsdam","Germany"
41.89,12.48,1892,"Rome","Italy"
48.78,9.18,1892,"Stuttgart","Germany"
48.40,9.99,1892,"Ulm","Germany"
45.44,12.33,1892,"Venice","Italy"
48.21,16.37,1892,"Vienna","Austria"
51.90,11.05,1893,"Halberstadt","Germany"
39.71,-83.88,1895,"Wilberforce","US"
37.30,-78.39,1896,"Farmville","US"
36.84,-76.29,1896,"Norfolk","US"
42.21,-73.34,1898,"Great Barrington","US"
37.03,-76.35,1898,"Hampton","US"
32.06,-81.10,1899,"Savannah","US"
32.42,-85.69,1900,"Tuskegee","US"
44.39,-68.20,1902,"Bar Harbor","US"
41.59,-93.60,1903,"Des Moines","US"
42.91,-78.92,1904,"Fort Erie","Canada"
45.50,-73.57,1906,"Montreal","Canada"
41.29,-82.22,1907,"Oberlin","US"
39.15,-74.69,1908,"Sea Isle","US"
37.78,-122.42,1912,"NA","US"
35.15,-90.05,1913,"Memphis","US"
42.36,-71.06,1914,"Boston","US"
17.97,-76.79,1914,"Kingston","Jamaica"
43.00,-71.45,1914,"Manchester","US"
41.85,-73.56,1915,"Amenia","US"
39.95,-75.16,1915,"Philadelphia","US"
33.47,-81.97,1916,"Augusta","US"
32.79,-79.94,1916,"Charleston","US"
35.05,-85.31,1916,"Chattanooga","US"
38.63,-90.24,1916,"St. Louis","US"
45.92,6.87,1920,"Chamonix-Mont Blanc","France"
43.21,2.35,1922,"Carcassonne","France"
39.74,-104.98,1922,"Denver","US"
44.05,-123.10,1922,"Eugene","US"
39.77,-86.16,1922,"Indianapolis","US"
